infrared_value,mq2_value,humidity,temperature,label
1,198,76.0,26.2,1
1,198,76.0,26.2,1
1,199,76.0,26.2,1
1,198,76.0,26.2,1
1,198,76.0,26.2,1
1,198,76.0,26.2,1
1,197,76.0,26.2,1
1,197,76.0,26.2,1
1,197,76.0,26.2,1
1,197,76.0,26.2,1
1,197,76.0,26.2,1
1,197,76.0,26.2,1
1,198,77.0,26.2,1
1,197,77.0,26.2,1
1,198,77.0,26.2,1
1,197,77.0,26.2,1
1,198,77.0,25.8,1
1,197,77.0,25.8,1
1,197,77.0,25.8,1
1,197,77.0,25.8,1
1,197,77.0,25.8,1
1,196,77.0,25.8,1
1,196,77.0,25.8,1
1,197,77.0,25.8,1
1,197,77.0,25.8,1
1,197,77.0,25.8,1
1,197,77.0,25.8,1
1,196,77.0,25.8,1
1,196,77.0,25.8,1
1,196,77.0,25.8,1
1,197,77.0,25.8,1
1,197,77.0,25.8,1
1,196,77.0,25.8,1
1,197,77.0,25.8,1
1,196,77.0,25.8,1
1,196,77.0,25.8,1
1,196,77.0,25.8,1
1,196,77.0,25.8,1
1,196,77.0,25.8,1
1,196,77.0,25.8,1
1,196,77.0,25.8,1
1,196,77.0,25.8,1
1,196,77.0,25.8,1
1,196,77.0,25.8,1
1,196,77.0,25.8,1
1,196,77.0,25.8,1
1,196,77.0,25.8,1
1,196,77.0,25.8,1
1,196,78.0,25.8,1
1,196,78.0,25.8,1
1,196,78.0,25.8,1
1,196,78.0,25.8,1
1,196,78.0,25.8,1
1,196,78.0,25.8,1
1,196,78.0,25.8,1
1,196,78.0,25.8,1
1,195,78.0,25.8,1
1,196,78.0,25.8,1
1,196,78.0,25.8,1
1,196,78.0,25.8,1
1,195,78.0,25.8,1
1,196,78.0,25.8,1
1,195,78.0,25.8,1
1,196,78.0,25.8,1
1,196,79.0,25.6,1
1,196,79.0,25.6,1
1,196,79.0,25.6,1
1,196,79.0,25.6,1
1,196,79.0,25.3,1
1,196,79.0,25.3,1
1,196,79.0,25.3,1
1,196,79.0,25.3,1
1,196,79.0,25.3,1
1,196,79.0,25.3,1
1,196,79.0,25.3,1
1,196,79.0,25.3,1
1,196,79.0,25.3,1
1,196,79.0,25.3,1
1,196,79.0,25.3,1
1,196,79.0,25.3,1
1,197,80.0,25.3,1
1,250,80.0,25.3,1
1,402,80.0,25.3,1
1,632,80.0,25.3,1
1,659,80.0,25.3,1
1,641,80.0,25.3,1
1,674,80.0,25.3,1
1,692,80.0,25.3,1
1,735,81.0,25.3,1
1,767,81.0,25.3,1
1,791,81.0,25.3,1
1,767,81.0,25.3,1
1,764,81.0,25.4,1
1,783,81.0,25.4,1
1,822,81.0,25.4,1
1,822,81.0,25.4,1
1,839,82.0,25.8,1
1,825,82.0,25.8,1
1,813,82.0,25.8,1
1,804,82.0,25.8,1
1,786,82.0,25.8,1
1,766,82.0,25.8,1
1,782,82.0,25.8,1
1,801,82.0,25.8,1
1,800,83.0,26.2,1
1,818,83.0,26.2,1
1,814,83.0,26.2,1
1,829,83.0,26.2,1
1,839,82.0,26.2,1
1,837,82.0,26.2,1
1,826,82.0,26.2,1
1,840,82.0,26.2,1
1,838,83.0,26.2,1
1,827,83.0,26.2,1
1,826,83.0,26.2,1
1,820,83.0,26.2,1
1,829,82.0,26.7,1
1,847,82.0,26.7,1
1,866,82.0,26.7,1
1,869,82.0,26.7,1
1,866,82.0,26.7,1
1,871,82.0,26.7,1
1,875,82.0,26.7,1
1,869,82.0,26.7,1
1,868,82.0,27.1,1
1,867,82.0,27.1,1
1,867,82.0,27.1,1
1,862,82.0,27.1,1
1,858,81.0,27.1,1
1,862,81.0,27.1,1
1,860,81.0,27.1,1
1,853,81.0,27.1,1
1,864,81.0,27.6,1
1,867,81.0,27.6,1
1,873,81.0,27.6,1
1,878,81.0,27.6,1
1,884,81.0,27.6,1
1,878,81.0,27.6,1
1,878,81.0,27.6,1
1,879,81.0,27.6,1
1,883,80.0,28.0,1
1,880,80.0,28.0,1
1,872,80.0,28.0,1
1,864,80.0,28.0,1
1,860,79.0,28.0,1
1,852,79.0,28.0,1
1,847,79.0,28.0,1
1,847,79.0,28.0,1
1,840,79.0,28.5,1
1,836,79.0,28.5,1
1,831,79.0,28.5,1
1,833,79.0,28.5,1
1,825,78.0,28.5,1
1,822,78.0,28.5,1
1,819,78.0,28.5,1
1,822,78.0,28.5,1
1,817,77.0,28.9,1
1,812,77.0,28.9,1
1,810,77.0,28.9,1
1,807,77.0,28.9,1
1,810,76.0,28.9,1
1,810,76.0,28.9,1
1,802,76.0,28.9,1
1,795,76.0,28.9,1
1,791,75.0,29.3,1
1,779,75.0,29.3,1
1,768,75.0,29.3,1
1,760,75.0,29.3,1
1,756,74.0,29.3,1
1,753,74.0,29.3,1
1,745,74.0,29.3,1
1,739,74.0,29.3,1
1,734,73.0,29.3,1
1,720,73.0,29.3,1
1,730,73.0,29.3,1
1,730,73.0,29.3,1
1,723,72.0,29.3,1
1,723,72.0,29.3,1
1,715,72.0,29.3,1
1,716,72.0,29.3,1
1,710,72.0,29.8,1
1,699,72.0,29.8,1
1,691,72.0,29.8,1
1,685,72.0,29.8,1
1,683,71.0,29.8,1
1,679,71.0,29.8,1
1,679,71.0,29.8,1
1,678,71.0,29.8,1
1,681,71.0,29.8,1
1,677,71.0,29.8,1
1,671,71.0,29.8,1
1,658,71.0,29.8,1
1,654,70.0,29.8,1
1,654,70.0,29.8,1
1,660,70.0,29.8,1
1,671,70.0,29.8,1
1,660,70.0,29.8,1
1,656,70.0,29.8,1
1,630,70.0,29.8,1
1,632,70.0,29.8,1
